Date,Time,Voltage,Current,Power Factor,Power,Energy,Frequency,Light bulb
11 08 2024,13:04:16,0,0,0,0,0,0,0
11 08 2024,13:04:20,0,0,0,0,0,0,0
11 08 2024,13:04:25,0,0,0,0,0,0,0
11 08 2024,13:04:29,257,0.08,0.54,10.5,0,50.1,1
11 08 2024,13:04:33,257.5,0.08,0.55,10.6,0,50.1,1
11 08 2024,13:04:37,255.9,0.08,0.55,10.6,0,50.1,1
11 08 2024,13:04:41,256.3,0.08,0.55,10.5,0,50.1,1
11 08 2024,13:04:44,256.4,0.08,0.55,10.6,0,50.1,1
11 08 2024,13:04:48,257.8,0.08,0.55,10.6,0,50.1,1
11 08 2024,13:04:52,254.6,0.08,0.55,10.5,0,50.1,1
11 08 2024,13:04:56,253.7,0.08,0.55,10.5,0,50.1,1
11 08 2024,13:05:00,254.7,0.08,0.55,10.5,0,50.1,1
11 08 2024,13:05:03,256.2,0.08,0.55,10.6,0,50.1,1
11 08 2024,13:05:07,256.3,0.08,0.55,10.5,0,50.2,1
11 08 2024,13:05:11,254,0.08,0.55,10.5,0,50.1,1
11 08 2024,13:05:15,254.9,0.08,0.55,10.5,0,50.1,1
11 08 2024,13:05:19,257.6,0.08,0.54,10.5,0,50.1,1
11 08 2024,13:05:23,257.2,0.08,0.54,10.5,0,50.2,1
11 08 2024,13:05:27,254.8,0.08,0.55,10.5,0,50.1,1
11 08 2024,13:05:31,0,0,0,0,0,0,0
11 08 2024,13:05:35,0,0,0,0,0,0,0
11 08 2024,13:05:40,0,0,0,0,0,0,0
11 08 2024,13:05:45,0,0,0,0,0,0,0
11 08 2024,13:05:49,256.5,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:05:53,256.7,0.08,0.55,10.6,0,50.1,1
11 08 2024,13:05:57,255.5,0.08,0.55,10.6,0,50.1,1
11 08 2024,13:06:00,254.1,0.08,0.55,10.5,0,50.2,1
11 08 2024,13:06:04,255.2,0.08,0.55,10.5,0,50.1,1
11 08 2024,13:06:08,256.6,0.08,0.55,10.6,0,50.1,1
11 08 2024,13:06:12,255.7,0.08,0.55,10.5,0,50.1,1
11 08 2024,13:06:15,255.9,0.08,0.55,10.6,0,50.1,1
11 08 2024,13:06:19,256.4,0.08,0.55,10.6,0,50.1,1
11 08 2024,13:06:23,256.5,0.08,0.55,10.6,0,50.1,1
11 08 2024,13:06:26,256.7,0.08,0.55,10.5,0,50.1,1
11 08 2024,13:06:30,256.2,0.08,0.55,10.5,0,50.2,1
11 08 2024,13:06:34,257,0.08,0.54,10.5,0,50.1,1
11 08 2024,13:06:38,255.5,0.08,0.55,10.5,0,50.1,1
11 08 2024,13:06:41,256,0.08,0.55,10.5,0,50.1,1
11 08 2024,13:06:45,256.6,0.08,0.55,10.6,0,50.1,1
11 08 2024,13:06:49,0,0,0,0,0,0,0
11 08 2024,13:06:54,0,0,0,0,0,0,0
11 08 2024,13:06:59,0,0,0,0,0,0,0
11 08 2024,13:07:03,0,0,0,0,0,0,0
11 08 2024,13:07:07,0,0,0.55,10.6,0,50.1,0
11 08 2024,13:07:11,256.2,0.08,0.55,10.6,0,50.1,1
11 08 2024,13:07:15,255.1,0.08,0.55,10.6,0,50.1,1
11 08 2024,13:07:19,256.6,0.07,0.56,10.6,0,50.1,1
11 08 2024,13:07:22,256.5,0.07,0.56,10.6,0,50.1,1
11 08 2024,13:07:26,256.4,0.07,0.56,10.6,0,50.1,1
11 08 2024,13:07:30,257,0.08,0.54,10.5,0,50.1,1
11 08 2024,13:07:34,256.2,0.08,0.55,10.6,0,50.1,1
11 08 2024,13:07:38,255.1,0.08,0.55,10.6,0,50.1,1
11 08 2024,13:07:42,255.2,0.08,0.55,10.5,0,50.1,1
11 08 2024,13:07:47,256.6,0.07,0.56,10.6,0,50.1,1
11 08 2024,13:07:51,255.1,0.08,0.55,10.5,0,50.1,1
11 08 2024,13:07:55,254.9,0.08,0.55,10.5,0,50.1,1
11 08 2024,13:07:59,255.9,0.07,0.55,10.5,0,50.1,1
11 08 2024,13:08:02,257,0.07,0.55,10.5,0,50.1,1
11 08 2024,13:08:06,255,0.08,0.55,10.5,0,50.1,1
11 08 2024,13:08:10,0,0,0,0,0,0,0
11 08 2024,13:08:15,0,0,0,0,0,0,0
11 08 2024,13:08:19,0,0,0,0,0,0,0
11 08 2024,13:08:24,0,0,0,0,0,0,0
11 08 2024,13:08:27,255.3,0.08,0.55,10.6,0,50.1,1
11 08 2024,13:08:31,255.5,0.08,0.55,10.6,0,50.1,1
11 08 2024,13:08:35,254.5,0.08,0.56,10.6,0,50.1,1
11 08 2024,13:08:41,254,0.08,0.56,10.6,0,50.1,1
11 08 2024,13:08:45,254.6,0.08,0.56,10.6,0,50.1,1
11 08 2024,13:08:49,253.8,0.08,0.55,10.5,0,50.1,1
11 08 2024,13:08:52,253.3,0.08,0.55,10.5,0,50.1,1
11 08 2024,13:08:56,254.6,0.08,0.56,10.6,0,50.1,1
11 08 2024,13:08:59,257.8,0.07,0.56,10.6,0,50.1,1
11 08 2024,13:09:03,257.5,0.07,0.56,10.6,0,50.1,1
11 08 2024,13:09:07,255.1,0.07,0.56,10.5,0,50.1,1
11 08 2024,13:09:10,255.1,0.07,0.56,10.5,0,50.1,1
11 08 2024,13:09:14,257,0.07,0.56,10.6,0,50.1,1
11 08 2024,13:09:18,257.4,0.07,0.56,10.6,0,50.1,1
11 08 2024,13:09:21,256.3,0.07,0.55,10.5,0,50.1,1
11 08 2024,13:09:25,255.2,0.07,0.56,10.6,0,50.1,1
11 08 2024,13:09:30,0,0,0,0,0,0,0
11 08 2024,13:09:35,0,0,0,0,0,0,0
11 08 2024,13:09:39,0,0,0,0,0,0,0
11 08 2024,13:09:44,0,0,0,0,0,0,0
11 08 2024,13:09:48,254.8,0.08,0.55,10.6,0,50.1,1
11 08 2024,13:09:52,255.5,0.07,0.56,10.6,0,50.1,1
11 08 2024,13:09:56,257.7,0.07,0.56,10.6,0,50.1,1
11 08 2024,13:09:59,256.5,0.07,0.56,10.6,0,50.1,1
11 08 2024,13:10:03,255.1,0.07,0.56,10.6,0,50.1,1
11 08 2024,13:10:07,256.6,0.07,0.56,10.6,0,50.1,1
11 08 2024,13:10:13,257.6,0.07,0.56,10.6,0,50.1,1
11 08 2024,13:10:17,255,0.07,0.56,10.6,0,50.1,1
11 08 2024,13:10:21,255,0.08,0.55,10.5,0,50.1,1
11 08 2024,13:10:25,257.2,0.07,0.56,10.6,0,50.1,1
11 08 2024,13:10:31,257.6,0.07,0.56,10.6,0,50.1,1
11 08 2024,13:10:36,254.1,0.08,0.55,10.5,0,50.1,1
11 08 2024,13:10:39,254.5,0.07,0.56,10.5,0,50.1,1
11 08 2024,13:10:43,256.2,0.07,0.55,10.5,0,50.1,1
11 08 2024,13:10:47,255.2,0.07,0.56,10.6,0,50.1,1
11 08 2024,13:10:51,0,0,0,0,0,0,0
11 08 2024,13:10:55,0,0,0,0,0,0,0
11 08 2024,13:11:00,0,0,0,0,0,0,0
11 08 2024,13:11:04,0,0,0,0,0,0,0
11 08 2024,13:11:08,257.8,0.08,0.55,10.6,0,50.1,1
11 08 2024,13:11:12,257,0.07,0.56,10.6,0,50.1,1
11 08 2024,13:11:16,255.9,0.08,0.55,10.6,0,50.1,1
11 08 2024,13:11:19,255.5,0.08,0.55,10.6,0,50,1
11 08 2024,13:11:23,258,0.07,0.56,10.6,0,50.1,1
11 08 2024,13:11:27,257.9,0.07,0.56,10.6,0,50,1
11 08 2024,13:11:30,254.8,0.08,0.55,10.6,0,50,1
11 08 2024,13:11:34,254,0.08,0.55,10.5,0,50,1
11 08 2024,13:11:38,255.2,0.08,0.55,10.6,0,50,1
11 08 2024,13:11:42,256.3,0.08,0.55,10.6,0,50,1
11 08 2024,13:11:45,255.3,0.08,0.55,10.6,0,50,1
11 08 2024,13:11:50,254.5,0.08,0.56,10.6,0,50,1
11 08 2024,13:11:54,255.8,0.08,0.55,10.6,0,50,1
11 08 2024,13:11:58,256.9,0.07,0.55,10.5,0,50,1
11 08 2024,13:12:03,256,0.08,0.55,10.5,0,50,1
11 08 2024,13:12:07,255.8,0.07,0.56,10.6,0,50,1
11 08 2024,13:12:12,0,0,0,0,0,0,0
11 08 2024,13:12:16,0,0,0,0,0,0,0
11 08 2024,13:12:21,0,0,0,0,0,0,0
11 08 2024,13:12:26,0,0,0,0,0,0,0
11 08 2024,13:12:29,252.5,0.08,0.56,10.6,0,50,1
11 08 2024,13:12:34,255.2,0.08,0.55,10.6,0,50,1
11 08 2024,13:12:38,256.1,0.07,0.56,10.6,0,50,1
11 08 2024,13:12:41,255.9,0.08,0.55,10.6,0,50,1
11 08 2024,13:12:45,254.1,0.08,0.56,10.6,0,50,1
11 08 2024,13:12:50,255.4,0.08,0.55,10.6,0,50,1
11 08 2024,13:12:54,256.4,0.08,0.55,10.6,0,50,1
11 08 2024,13:12:58,255.6,0.08,0.55,10.6,0,50,1
11 08 2024,13:13:01,255.4,0.08,0.55,10.6,0,50,1
11 08 2024,13:13:06,255.5,0.07,0.56,10.6,0,50,1
11 08 2024,13:13:10,255.6,0.08,0.55,10.6,0,50,1
11 08 2024,13:13:14,255.5,0.08,0.55,10.6,0,49.9,1
11 08 2024,13:13:18,255.4,0.08,0.55,10.6,0,49.9,1
11 08 2024,13:13:22,256.5,0.08,0.55,10.6,0,49.9,1
11 08 2024,13:13:25,254.2,0.07,0.56,10.5,0,49.9,1
11 08 2024,13:13:29,251.7,0.08,0.56,10.5,0,49.9,1
11 08 2024,13:13:33,0,0,0,0,0,0,0
11 08 2024,13:13:38,0,0,0,0,0,0,0
11 08 2024,13:13:42,0,0,0,0,0,0,0
11 08 2024,13:13:46,0,0,0,0,0,0,0
11 08 2024,13:13:49,253.1,0.08,0.55,10.5,0,49.8,1
11 08 2024,13:13:53,255.2,0.08,0.55,10.6,0,49.8,1
11 08 2024,13:13:57,255.3,0.08,0.55,10.6,0,49.8,1
11 08 2024,13:14:01,252.4,0.08,0.56,10.6,0,49.8,1
11 08 2024,13:14:05,252.4,0.08,0.56,10.6,0,49.8,1
11 08 2024,13:14:09,253.6,0.08,0.55,10.5,0,49.8,1
11 08 2024,13:14:12,255,0.08,0.55,10.6,0,49.7,1
11 08 2024,13:14:16,253.9,0.08,0.55,10.5,0,49.7,1
11 08 2024,13:14:20,252.8,0.08,0.55,10.5,0,49.8,1
11 08 2024,13:14:23,251.7,0.08,0.56,10.5,0,49.7,1
11 08 2024,13:14:27,252.1,0.08,0.56,10.5,0,49.8,1
11 08 2024,13:14:31,251,0.08,0.56,10.5,0,49.9,1
11 08 2024,13:14:35,252,0.08,0.56,10.5,0,49.9,1
11 08 2024,13:14:39,254.6,0.08,0.55,10.5,0,50,1
11 08 2024,13:14:43,255.7,0.07,0.56,10.6,0,50,1
11 08 2024,13:14:46,253.4,0.08,0.55,10.5,0,50,1
11 08 2024,13:14:51,0,0,0,0,0,0,0
11 08 2024,13:14:55,0,0,0,0,0,0,0
11 08 2024,13:14:59,0,0,0,0,0,0,0
11 08 2024,13:15:04,0,0,0,0,0,0,0
11 08 2024,13:15:08,254.6,0.08,0.56,10.6,0,50,1
11 08 2024,13:15:12,254.5,0.08,0.56,10.6,0,50,1
11 08 2024,13:15:16,253.6,0.08,0.56,10.6,0,50,1
11 08 2024,13:15:20,255.1,0.08,0.55,10.6,0,50,1
11 08 2024,13:15:25,255.6,0.08,0.55,10.6,0,50.1,1
11 08 2024,13:15:28,256.3,0.08,0.55,10.6,0,50.1,1
11 08 2024,13:15:32,254,0.08,0.56,10.6,0,50.1,1
11 08 2024,13:15:36,253,0.07,0.57,10.6,0,50.1,1
11 08 2024,13:15:40,255,0.08,0.55,10.6,0,50.1,1
11 08 2024,13:15:44,254.7,0.08,0.55,10.6,0,50.1,1
11 08 2024,13:15:48,256.2,0.08,0.55,10.6,0,50.1,1
11 08 2024,13:15:51,256.2,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:15:55,255,0.08,0.55,10.6,0,50.1,1
11 08 2024,13:15:59,254.5,0.08,0.56,10.6,0,50.1,1
11 08 2024,13:16:03,255.6,0.07,0.56,10.5,0,50.1,1
11 08 2024,13:16:08,257.5,0.07,0.56,10.6,0,50.2,1
11 08 2024,13:16:13,0,0,0,0,0,0,0
11 08 2024,13:16:17,0,0,0,0,0,0,0
11 08 2024,13:16:21,0,0,0,0,0,0,0
11 08 2024,13:16:26,0,0,0,0,0,0,0
11 08 2024,13:16:30,254.2,0.07,0.56,10.6,0,50.2,1
11 08 2024,13:16:34,253.9,0.07,0.56,10.6,0,50.2,1
11 08 2024,13:16:37,253.7,0.07,0.56,10.5,0,50.2,1
11 08 2024,13:16:41,254.2,0.08,0.56,10.6,0,50.2,1
11 08 2024,13:16:45,255.1,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:16:49,256.4,0.07,0.56,10.6,0,50.2,1
11 08 2024,13:16:53,256.3,0.07,0.56,10.6,0,50.2,1
11 08 2024,13:16:57,254.8,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:17:01,253.5,0.08,0.56,10.6,0,50.2,1
11 08 2024,13:17:05,255.3,0.07,0.56,10.6,0,50.2,1
11 08 2024,13:17:08,257.2,0.07,0.56,10.6,0,50.2,1
11 08 2024,13:17:12,256.1,0.07,0.56,10.6,0,50.2,1
11 08 2024,13:17:16,253.8,0.07,0.56,10.6,0,50.2,1
11 08 2024,13:17:23,253.6,0.08,0.55,10.5,0,50.2,1
11 08 2024,13:17:27,255.9,0.08,0.55,10.5,0,50.2,1
11 08 2024,13:17:31,0,0,0,0,0,0,0
11 08 2024,13:17:35,0,0,0,0,0,0,0
11 08 2024,13:17:40,0,0,0,0,0,0,0
11 08 2024,13:17:44,0,0,0,0,0,0,0
11 08 2024,13:17:48,255.2,0.08,0.55,10.6,0,50.3,1
11 08 2024,13:17:52,255.2,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:17:56,255.3,0.08,0.55,10.6,0,50.3,1
11 08 2024,13:18:00,252.8,0.08,0.55,10.5,0,50.3,1
11 08 2024,13:18:04,254.1,0.08,0.56,10.6,0,50.3,1
11 08 2024,13:18:09,256.7,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:18:13,255.2,0.08,0.55,10.5,0,50.3,1
11 08 2024,13:18:16,254.7,0.08,0.55,10.6,0,50.3,1
11 08 2024,13:18:20,253.4,0.08,0.55,10.5,0,50.3,1
11 08 2024,13:18:25,255.5,0.08,0.55,10.6,0,50.3,1
11 08 2024,13:18:28,255.8,0.08,0.55,10.5,0,50.3,1
11 08 2024,13:18:32,254.2,0.08,0.56,10.6,0,50.3,1
11 08 2024,13:18:36,255.6,0.08,0.55,10.6,0,50.3,1
11 08 2024,13:18:40,254.9,0.07,0.56,10.6,0,50.3,1
11 08 2024,13:18:44,255.4,0.08,0.55,10.5,0,50.3,1
11 08 2024,13:18:49,0,0,0,0,0,0,0
11 08 2024,13:18:53,0,0,0,0,0,0,0
11 08 2024,13:18:58,0,0,0,0,0,0,0
11 08 2024,13:19:03,0,0,0,0,0,0,0
11 08 2024,13:19:07,258.5,0.07,0.55,10.6,0,50.3,1
11 08 2024,13:19:10,257.7,0.07,0.56,10.6,0,50.3,1
11 08 2024,13:19:14,256.4,0.08,0.55,10.6,0,50.3,1
11 08 2024,13:19:18,254.7,0.08,0.55,10.6,0,50.3,1
11 08 2024,13:19:22,256,0.08,0.55,10.6,0,50.3,1
11 08 2024,13:19:27,256.2,0.07,0.55,10.5,0,50.3,1
11 08 2024,13:19:31,254.6,0.08,0.56,10.6,0,50.3,1
11 08 2024,13:19:35,253,0.08,0.55,10.5,0,50.3,1
11 08 2024,13:19:39,254.8,0.08,0.55,10.6,0,50.3,1
11 08 2024,13:19:43,257,0.08,0.55,10.6,0,50.3,1
11 08 2024,13:19:46,257.1,0.07,0.56,10.6,0,50.3,1
11 08 2024,13:19:50,256.7,0.07,0.56,10.6,0,50.3,1
11 08 2024,13:19:54,255.5,0.07,0.56,10.6,0,50.3,1
11 08 2024,13:19:58,255.6,0.07,0.56,10.6,0,50.3,1
11 08 2024,13:20:02,255.9,0.08,0.55,10.6,0,50.3,1
11 08 2024,13:20:06,258.5,0.07,0.55,10.6,0,50.3,1
11 08 2024,13:20:11,0,0,0,0,0,0,0
11 08 2024,13:20:15,0,0,0,0,0,0,0
11 08 2024,13:20:19,0,0,0,0,0,0,0
11 08 2024,13:20:24,0,0,0,0,0,0,0
11 08 2024,13:20:27,257.1,0.08,0.55,10.6,0,50.3,1
11 08 2024,13:20:32,254.8,0.08,0.55,10.6,0,50.3,1
11 08 2024,13:20:37,256,0.08,0.55,10.6,0,50.3,1
11 08 2024,13:20:40,257.5,0.08,0.55,10.6,0,50.3,1
11 08 2024,13:20:45,255.4,0.08,0.55,10.6,0,50.3,1
11 08 2024,13:20:49,255,0.08,0.55,10.6,0,50.3,1
11 08 2024,13:20:53,257.1,0.08,0.55,10.6,0,50.3,1
11 08 2024,13:20:57,257.2,0.08,0.55,10.6,0,50.3,1
11 08 2024,13:21:01,256.6,0.08,0.55,10.6,0,50.3,1
11 08 2024,13:21:05,255.6,0.08,0.55,10.6,0,50.3,1
11 08 2024,13:21:09,255.5,0.08,0.55,10.5,0,50.3,1
11 08 2024,13:21:12,256.7,0.08,0.55,10.6,0,50.3,1
11 08 2024,13:21:17,254.3,0.08,0.55,10.5,0,50.3,1
11 08 2024,13:21:21,255.9,0.08,0.55,10.6,0,50.3,1
11 08 2024,13:21:25,256,0.08,0.55,10.6,0,50.3,1
11 08 2024,13:21:30,0,0,0,0,0,0,0
11 08 2024,13:21:34,0,0,0,0,0,0,0
11 08 2024,13:21:38,0,0,0,0,0,0,0
11 08 2024,13:21:43,0,0,0,0,0,0,0
11 08 2024,13:21:46,255.5,0.08,0.55,10.6,0,50.3,1
11 08 2024,13:21:50,254.7,0.08,0.55,10.6,0,50.3,1
11 08 2024,13:21:54,257.1,0.08,0.55,10.6,0,50.3,1
11 08 2024,13:21:58,259.1,0.08,0.55,10.6,0,50.3,1
11 08 2024,13:22:02,256.6,0.08,0.55,10.6,0,50.3,1
11 08 2024,13:22:07,257.2,0.08,0.55,10.6,0,50.3,1
11 08 2024,13:22:11,256.9,0.07,0.56,10.6,0,50.3,1
11 08 2024,13:22:15,254.7,0.08,0.55,10.6,0,50.3,1
11 08 2024,13:22:19,256,0.08,0.55,10.6,0,50.3,1
11 08 2024,13:22:22,255.7,0.08,0.55,10.6,0,50.3,1
11 08 2024,13:22:27,256.3,0.08,0.55,10.6,0,50.3,1
11 08 2024,13:22:31,255.1,0.08,0.55,10.6,0,50.3,1
11 08 2024,13:22:35,255.8,0.08,0.55,10.6,0,50.3,1
11 08 2024,13:22:39,255.6,0.08,0.55,10.6,0,50.3,1
11 08 2024,13:22:43,255.5,0.08,0.55,10.6,0,50.3,1
11 08 2024,13:22:48,0,0,0,0,0,0,0
11 08 2024,13:22:55,0,0,0,0,0,0,0
11 08 2024,13:23:00,0,0,0,0,0,0,0
11 08 2024,13:23:04,255.4,0.07,0.56,10.6,0,50.2,1
11 08 2024,13:23:08,256.6,0.08,0.55,10.6,0,50.3,1
11 08 2024,13:23:12,255.5,0.08,0.55,10.6,0,50.3,1
11 08 2024,13:23:16,255.1,0.07,0.56,10.6,0,50.3,1
11 08 2024,13:23:21,254.9,0.08,0.55,10.6,0,50.3,1
11 08 2024,13:23:24,256.6,0.07,0.56,10.6,0,50.3,1
11 08 2024,13:23:28,256.2,0.08,0.55,10.6,0,50.3,1
11 08 2024,13:23:32,256,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:23:36,256,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:23:40,256.7,0.07,0.56,10.6,0,50.3,1
11 08 2024,13:23:44,256.6,0.07,0.56,10.6,0,50.3,1
11 08 2024,13:23:48,255.1,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:23:52,255.1,0.07,0.56,10.5,0,50.3,1
11 08 2024,13:23:56,257.2,0.07,0.56,10.6,0,50.2,1
11 08 2024,13:24:00,256.2,0.07,0.56,10.6,0,50.2,1
11 08 2024,13:24:03,254.8,0.07,0.56,10.5,0,50.2,1
11 08 2024,13:24:08,0,0,0,0,0,0,0
11 08 2024,13:24:12,0,0,0,0,0,0,0
11 08 2024,13:24:17,0,0,0,0,0,0,0
11 08 2024,13:24:21,0,0,0,0,0,0,0
11 08 2024,13:24:25,255.3,0.07,0.56,10.6,0,50.3,1
11 08 2024,13:24:30,256.4,0.08,0.55,10.6,0,50.3,1
11 08 2024,13:24:34,254,0.08,0.56,10.6,0,50.3,1
11 08 2024,13:24:38,256.3,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:24:42,257.6,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:24:49,253.8,0.08,0.55,10.5,0,50.3,1
11 08 2024,13:24:53,254.2,0.08,0.56,10.6,0,50.3,1
11 08 2024,13:24:57,257.7,0.07,0.56,10.6,0,50.2,1
11 08 2024,13:25:01,257.7,0.07,0.56,10.6,0,50.3,1
